stage,pnl,win_rate,signals,wins,losses,sideways,avg_pnl,pf,adx_threshold,ema_entry_len,ema_trend_len,hold_bars,rsi_len,stop_loss_pct,take_profit_pct,vol_mult
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,26.1,37.14,489,179,303,7,0.0534,1.11,,,,12,,0.008,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,20.0,30.06,489,144,335,10,0.0409,1.07,,,,12,,0.008,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,24.0,22.41,489,104,360,25,0.0491,1.08,,,,12,,0.008,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,39.2,18.46,489,84,371,34,0.0802,1.13,,,,12,,0.008,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,5.0,40.42,489,194,286,9,0.0102,1.02,,,,12,,0.01,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-8.0,32.77,489,156,320,13,-0.0164,0.97,,,,12,,0.01,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,11.0,25.6,489,118,343,28,0.0225,1.03,,,,12,,0.01,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,9.0,20.4,489,92,359,38,0.0184,1.03,,,,12,,0.01,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-9.0,49.36,489,230,236,23,-0.0184,0.97,,,,12,,0.015,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-21.0,41.54,489,189,266,34,-0.0429,0.95,,,,12,,0.015,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-7.5,32.95,489,143,291,55,-0.0153,0.98,,,,12,,0.015,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,6.5,27.55,489,116,305,68,0.0133,1.01,,,,12,,0.015,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-9.0,56.58,489,258,198,33,-0.0184,0.98,,,,12,,0.02,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-24.0,48.64,489,215,227,47,-0.0491,0.95,,,,12,,0.02,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-8.0,39.61,489,164,250,75,-0.0164,0.98,,,,12,,0.02,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,0.0,33.33,489,131,262,96,0.0,1.0,,,,12,,0.02,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,29.0,37.37,489,182,305,2,0.0593,1.12,,,,24,,0.008,0.015,
